,0,1,2,3,4,5,6,7,8,9,10
2017/9/9,0.335689684,0.213142244,-4.405379485,-1.022233483,0.266247882,-0.392452694,-1.541444816,-1.193863371,1.878618239,0.144020435,-0.375815126
2017/9/10,0.783100813,-0.08758873,-5.99795856,-2.740502239,0.248905696,0.019262876,-2.498172586,-4.47588717,-0.957286793,-0.084764199,-0.184412436
2017/9/11,-0.478846398,-0.789360385,-1.727690782,-2.929111512,0.265643492,0.032511539,-5.410777754,-1.360554946,-0.657925505,0.102945629,-0.750351083
2017/9/12,0.535080047,-0.026905521,-7.30407135,-1.940115618,0.272477194,0.031418389,-1.318633607,-1.227525539,2.169485658,0.096943663,-0.719507523
2017/9/13,0.711262543,-0.982219294,-6.687356543,0.377582616,0.263071275,0.036458457,-1.436486548,-1.759187713,0.644917501,0.118229868,-2.059965593
2017/9/14,0.76884518,0.228191403,-5.586049981,3.768873561,0.253996762,0.04026373,-1.432111806,-2.321455457,-7.706558918,-0.822133768,-0.088708966
2017/9/15,0.983991831,-0.118202162,-4.045112639,-2.094148846,0.261311669,0.030863133,-1.488984046,-1.693523867,-1.670878214,0.151461647,0.161469413
2017/9/16,1.035935783,-0.688184301,-7.217955681,-4.348683753,0.231320761,0.067039558,-1.147936115,-0.943611627,-0.825369008,0.149298257,0.095331049
2017/9/17,0.928990855,-0.387816845,-4.970867871,-1.805923958,0.237671782,0.038807497,-1.291018125,-4.799169408,-2.496603402,-0.063360511,-0.101598655
2017/9/18,1.558504684,-0.272948851,-4.461135956,-4.16992956,0.250508396,0.043350965,-1.703821494,-2.449439595,-3.882529677,-0.53855392,0.130598216
2017/9/19,0.754809105,-0.147919059,-2.844773771,-2.422732811,0.256591507,0.035357841,-1.668174046,-1.755934811,-5.914893615,-0.282366351,-0.091219393
2017/9/20,2.137043129,-0.227653124,-1.942168099,-3.499659637,0.241042313,0.034969318,-1.200461197,-1.381331455,1.31495213,0.093624415,-0.267559533
2017/9/21,1.089197129,-0.61818545,-2.351513339,-4.629232247,0.22631775,0.046401407,-1.367589462,-1.465868488,2.219279376,0.094252224,0.140582093
2017/9/22,1.121710206,-0.181104427,-1.33748317,-2.054866169,0.242247431,0.03649476,-1.856671101,-1.202796687,1.994306684,0.10495853,0.159020569
2017/9/23,1.505075422,-0.858585811,-3.433370317,-1.83631399,0.225695532,0.027119645,-1.861591593,-1.274814056,3.848161584,0.078704816,-0.027661372
